Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2023-03-09,153.56,154.54,150.23,150.59,150.59,53492304,0.0000,1.0
2023-03-08,152.81,153.47,151.83,152.87,152.87,47204791,0.0000,1.0
2023-03-07,153.7,154.0299,151.13,151.6,151.6,56182028,0.0000,1.0
2023-03-06,153.785,156.3,153.46,153.83,153.83,87558028,0.0000,1.0
2023-03-03,148.045,151.11,147.33,151.03,151.03,70732297,0.0000,1.0
2023-03-02,144.38,146.71,143.9,145.91,145.91,52279761,0.0000,1.0
2023-03-01,146.83,147.2285,145.01,145.31,145.31,55478991,0.0000,1.0
2023-02-28,147.05,149.08,146.83,147.41,147.41,50546998,0.0000,1.0
2023-02-27,147.71,149.17,147.45,147.92,147.92,44998470,0.0000,1.0
2023-02-24,147.11,147.19,145.7202,146.71,146.71,55469606,0.0000,1.0
2023-02-23,150.09,150.34,147.24,149.4,149.4,48394249,0.0000,1.0
2023-02-22,148.87,149.95,147.16,148.91,148.91,51011305,0.0000,1.0
2023-02-21,150.2,151.3,148.405,148.48,148.48,58867230,0.0000,1.0
2023-02-17,152.35,153.0,150.85,152.55,152.55,59144118,0.0000,1.0
2023-02-16,153.51,156.33,153.3475,153.71,153.71,68167942,0.0000,1.0
2023-02-15,153.11,155.5,152.88,155.33,155.33,65669252,0.0000,1.0
2023-02-14,152.12,153.77,150.86,153.2,153.2,61707573,0.0000,1.0
2023-02-13,150.952,154.26,150.92,153.85,153.85,62199013,0.0000,1.0
2023-02-10,149.46,151.3401,149.22,151.01,151.01,57450708,0.2300,1.0
2023-02-09,153.775,154.33,150.42,150.87,150.64056268183,56007143,0.0000,1.0
2023-02-08,153.88,154.58,151.168,151.92,151.688965882042,64120079,0.0000,1.0
2023-02-07,150.64,155.23,150.64,154.65,154.414814202592,83322551,0.0000,1.0
2023-02-06,152.575,153.1,150.78,151.73,151.499254826765,69858306,0.0000,1.0
2023-02-03,148.03,157.38,147.83,154.5,154.265042316847,154357337,0.0000,1.0
2023-02-02,148.9,151.18,148.17,150.82,150.590638719915,118338980,0.0000,1.0
